title,author,year,publication,citation
Dual Cross-Attention Learning for Fine-Grained Visual Categorization and Object Re-Identification,"Zhu Haowei , Ke Wenjing , Li Dong , Liu Ji , Tian Lu , Shan Yi",2022,CVPR2022,15
SimAN: Exploring Self-Supervised Representation Learning of Scene Text via Similarity-Aware Normalization,"Luo Canjie , Jin Lianwen , Chen Jingdong",2022,CVPR2022,4
"GASP, a Generalized Framework for Agglomerative Clustering of Signed Graphs and Its Application to Instance Segmentation","Bailoni Alberto , Pape Constantin , H\""utsch Nathan , Wolf Steffen , Beier Thorsten , Kreshuk Anna , Hamprecht Fred A.",2022,CVPR2022,3
Estimating Example Difficulty Using Variance of Gradients,"Agarwal Chirag , D'souza Daniel , Hooker Sara",2022,CVPR2022,42
One Loss for Quantization: Deep Hashing With Discrete Wasserstein Distributional Matching,"Doan Khoa D. , Yang Peng , Li Ping",2022,CVPR2022,7
Pixel Screening Based Intermediate Correction for Blind Deblurring,"Zhang Meina , Fang Yingying , Ni Guoxi , Zeng Tieyong",2022,CVPR2022,5
Weakly Supervised Semantic Segmentation by Pixel-to-Prototype Contrast,"Du Ye , Fu Zehua , Liu Qingjie , Wang Yunhong",2022,CVPR2022,25
Controllable Animation of Fluid Elements in Still Images,"Mahapatra Aniruddha , Kulkarni Kuldeep",2022,CVPR2022,5
Holocurtains: Programming Light Curtains via Binary Holography,"Chan Dorian , Narasimhan Srinivasa G. , O'Toole Matthew",2022,CVPR2022,2
Recurrent Dynamic Embedding for Video Object Segmentation,"Li Mingxing , Hu Li , Xiong Zhiwei , Zhang Bang , Pan Pan , Liu Dong",2022,CVPR2022,10
Deep Hierarchical Semantic Segmentation,"Li Liulei , Zhou Tianfei , Wang Wenguan , Li Jianwu , Yang Yi",2022,CVPR2022,24
f-SfT: Shape-From-Template With a Physics-Based Deformation Model,"Kair,a Navami , Tretschk Edith , Elgharib Mohamed , Theobalt Christian , Golyanik Vladislav",2022,CVPR2022,3
Continual Object Detection via Prototypical Task Correlation Guided Gating Mechanism,"Yang Binbin , Deng Xinchi , Shi Han , Li Changlin , Zhang Gengwei , Xu Hang , Zhao Shen , Lin Liang , Liang Xiaodan",2022,CVPR2022,3
DATA: Domain-Aware and Task-Aware Self-Supervised Learning,"Chang Qing , Peng Junran , Xie Lingxi , Sun Jiajun , Yin Haoran , Tian Qi , Zhang Zhaoxiang",2022,CVPR2022,0
TWIST: Two-Way Inter-Label Self-Training for Semi-Supervised 3D Instance Segmentation,"Chu Ruihang , Ye Xiaoqing , Liu Zhengzhe , Tan Xiao , Qi Xiaojuan , Fu Chi-Wing , Jia Jiaya",2022,CVPR2022,206
Voxel Set Transformer: A Set-to-Set Approach to 3D Object Detection From Point Clouds,"He Chenhang , Li Ruihuang , Li Shuai , Zhang Lei",2022,CVPR2022,34
Learning Adaptive Warping for Real-World Rolling Shutter Correction,"Cao Mingdeng , Zhong Zhihang , Wang Jiahao , Zheng Yinqiang , Yang Yujiu",2022,CVPR2022,0
Siamese Contrastive Embedding Network for Compositional Zero-Shot Learning,"Li Xiangyu , Yang Xu , Wei Kun , Deng Cheng , Yang Muli",2022,CVPR2022,14
Bongard-HOI: Benchmarking Few-Shot Visual Reasoning for Human-Object Interactions,"Jiang Huaizu , Ma Xiaojian , Nie Weili , Yu Zhiding , Zhu Yuke , An,kumar Anima",2022,CVPR2022,8
RIM-Net: Recursive Implicit Fields for Unsupervised Learning of Hierarchical Shape Structures,"Niu Chengjie , Li Manyi , Xu Kai , Zhang Hao",2022,CVPR2022,3
Do Learned Representations Respect Causal Relationships?,"Wang Lan , Boddeti Vishnu Naresh",2022,CVPR2022,2
ZebraPose: Coarse To Fine Surface Encoding for 6DoF Object Pose Estimation,"Su Yongzhi , Saleh Mahdi , Fetzer Torben , Rambach Jason , Navab Nassir , Busam Benjamin , Stricker Didier , Tombari Federico",2022,CVPR2022,23
ZeroCap: Zero-Shot Image-to-Text Generation for Visual-Semantic Arithmetic,"Tewel Yoad , Shalev Yoav , Schwartz Idan , Wolf Lior",2022,CVPR2022,0
Learning To Affiliate: Mutual Centralized Learning for Few-Shot Classification,"Liu Yang , Zhang Weifeng , Xiang Chao , Zheng Tu , Cai Deng , He Xiaofei",2022,CVPR2022,0
CAPRI-Net: Learning Compact CAD Shapes With Adaptive Primitive Assembly,"Yu Fenggen , Chen Zhiqin , Li Manyi , Sanghi Aditya , Shayani Hooman , Mahdavi-Amiri Ali , Zhang Hao",2022,CVPR2022,10
ATPFL: Automatic Trajectory Prediction Model Design Under Federated Learning Framework,"Wang Chunnan , Chen Xiang , Wang Junzhe , Wang Hongzhi",2022,CVPR2022,3
Revisiting Learnable Affines for Batch Norm in Few-Shot Transfer Learning,"Yazdanpanah Moslem , Rahman Aamer Abdul , Chaudhary Muawiz , Desrosiers Christian , Havaei Mohammad , Belilovsky Eugene , Kahou Samira Ebrahimi",2022,CVPR2022,3
Bridging the Gap Between Classification and Localization for Weakly Supervised Object Localization,"Kim Eunji , Kim Siwon , Lee Jungbeom , Kim Hyunwoo , Yoon Sungroh",2022,CVPR2022,11
Multi-Class Token Transformer for Weakly Supervised Semantic Segmentation,"Xu Lian , Ouyang Wanli , Bennamoun Mohammed , Boussaid Farid , Xu Dan",2022,CVPR2022,0
3D Moments From Near-Duplicate Photos,"Wang Qianqian , Li Zhengqi , Salesin David , Snavely Noah , Curless Brian , Kontkanen Janne",2022,CVPR2022,1
Exact Feature Distribution Matching for Arbitrary Style Transfer and Domain Generalization,"Zhang Yabin , Li Minghan , Li Ruihuang , Jia Kui , Zhang Lei",2022,CVPR2022,34
Blind2Unblind: Self-Supervised Image Denoising With Visible Blind Spots,"Wang Zejin , Liu Jiazheng , Li Guoqing , Han Hua",2022,CVPR2022,0
Balanced and Hierarchical Relation Learning for One-Shot Object Detection,"Yang Hanqing , Cai Sijia , Sheng Hualian , Deng Bing , Huang Jianqiang , Hua Xian-Sheng , Tang Yong , Zhang Yu",2022,CVPR2022,0
End-to-End Generative Pretraining for Multimodal Video Captioning,"Seo Paul Hongsuck , Nagrani Arsha , Arnab Anurag , Schmid Cordelia",2022,CVPR2022,0
Delving Deep Into the Generalization of Vision Transformers Under Distribution Shifts,"Zhang Chongzhi , Zhang Mingyuan , Zhang Shanghang , Jin Daisheng , Zhou Qiang , Cai Zhongang , Zhao Haiyu , Liu Xianglong , Liu Ziwei",2022,CVPR2022,0
NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,"Zhu Zihan , Peng Songyou , Larsson Viktor , Xu Weiwei , Bao Hujun , Cui Zhaopeng , Oswald Martin R. , Pollefeys Marc",2022,CVPR2022,0
HyperDet3D: Learning a Scene-Conditioned 3D Object Detector,"Zheng Yu , Duan Yueqi , Lu Jiwen , Zhou Jie , Tian Qi",2022,CVPR2022,0
Stochastic Trajectory Prediction via Motion Indeterminacy Diffusion,"Gu Tianpei , Chen Guangyi , Li Junlong , Lin Chunze , Rao Yongming , Zhou Jie , Lu Jiwen",2022,CVPR2022,19
CLRNet: Cross Layer Refinement Network for Lane Detection,"Zheng Tu , Huang Yifei , Liu Yang , Tang Wenjian , Yang Zheng , Cai Deng , He Xiaofei",2022,CVPR2022,16
Cross-Modal Map Learning for Vision and Language Navigation,"Georgakis Georgios , Schmeckpeper Karl , Wanchoo Karan , Dan Soham , Miltsakaki Eleni , Roth Dan , Daniilidis Kostas",2022,CVPR2022,0
Motion-Aware Contrastive Video Representation Learning via Foreground-Background Merging,"Ding Shuangrui , Li Maomao , Yang Tianyu , Qian Rui , Xu Haohang , Chen Qingyi , Wang Jue , Xiong Hongkai",2022,CVPR2022,0
Incremental Transformer Structure Enhanced Image Inpainting With Masking Positional Encoding,"Dong Qiaole , Cao Chenjie , Fu Yanwei",2022,CVPR2022,0
Pointly-Supervised Instance Segmentation,"Cheng Bowen , Parkhi Omkar , Kirillov Alex,er",2022,CVPR2022,2687
