title,author,year,publication,citation
AdaSGN: Adapting Joint Number and Model Size for Efficient Skeleton-Based Action Recognition,"Shi Lei , Zhang Yifan , Cheng Jian , Lu Hanqing",2021,ICCV2021,0
C2N: Practical Generative Noise Modeling for Real-World Denoising,"Jang Geonwoon , Lee Wooseok , Son Sanghyun , Lee Kyoung Mu",2021,ICCV2021,22
Continual Learning on Noisy Data Streams via Self-Purified Replay,"Kim Chris Dongjoo , Jeong Jinseo , Moon Sangwoo , Kim Gunhee",2021,ICCV2021,9
FOVEA: Foveated Image Magnification for Autonomous Navigation,"Thavamani Chittesh , Li Mengtian , Cebron Nicolas , Ramanan Deva",2021,ICCV2021,11
PlenOctrees for Real-Time Rendering of Neural Radiance Fields,"Yu Alex , Li Ruilong , Tancik Matthew , Li Hao , Ng Ren , Kanazawa Angjoo",2021,ICCV2021,0
Entropy Maximization and Meta Classification for Out-of-Distribution Detection in Semantic Segmentation,"Chan Robin , Rottmann Matthias , Gottschalk Hanno",2021,ICCV2021,43
Specificity-Preserving RGB-D Saliency Detection,"Zhou Tao , Fu Huazhu , Chen Geng , Zhou Yi , Fan Deng-Ping , Shao Ling",2021,ICCV2021,0
3DVG-Transformer: Relation Modeling for Visual Grounding on Point Clouds,"Zhao Lichen , Cai Daigang , Sheng Lu , Xu Dong",2021,ICCV2021,0
4D-Net for Learned Multi-Modal Alignment,"Piergiovanni AJ , Casser Vincent , Ryoo Michael S. , Angelova Anelia",2021,ICCV2021,0
Patch Craft: Video Denoising by Deep Modeling and Patch Matching,"Vaksman Gregory , Elad Michael , Milanfar Peyman",2021,ICCV2021,24
Image Manipulation Detection by Multi-View Multi-Scale Supervision,"Chen Xinru , Dong Chengbo , Ji Jiaqi , Cao Juan , Li Xirong",2021,ICCV2021,0
Perturbed Self-Distillation: Weakly Supervised Large-Scale Point Cloud Semantic Segmentation,"Zhang Yachao , Qu Yanyun , Xie Yuan , Li Zonghao , Zheng Shanshan , Li Cuihua",2021,ICCV2021,35
Cherry-Picking Gradients: Learning Low-Rank Embeddings of Visual Data via Differentiable Cross-Approximation,"Usvyatsov Mikhail , Makarova Anastasia , Ballester-Ripoll Rafael , Rakhuba Maxim , Krause Andreas , Schindler Konrad",2021,ICCV2021,2
Ask\&amp;Confirm: Active Detail Enriching for Cross-Modal Retrieval With Partial Query,"Cai Guanyu , Zhang Jun , Jiang Xinyang , Gong Yifei , He Lianghua , Yu Fufu , Peng Pai , Guo Xiaowei , Huang Feiyue , Sun Xing",2021,ICCV2021,353
EventHands: Real-Time Neural 3D Hand Pose Estimation From an Event Stream,"Rudnev Viktor , Golyanik Vladislav , Wang Jiayi , Seidel Hans-Peter , Mueller Franziska , Elgharib Mohamed , Theobalt Christian",2021,ICCV2021,15
Composable Augmentation Encoding for Video Representation Learning,"Sun Chen , Nagrani Arsha , Tian Yonglong , Schmid Cordelia",2021,ICCV2021,8
Exploiting Explanations for Model Inversion Attacks,"Zhao Xuejun , Zhang Wencan , Xiao Xiaokui , Lim Brian",2021,ICCV2021,19
Semantic Diversity Learning for Zero-Shot Multi-Label Classification,"Ben-Cohen Avi , Zamir Nadav , Ben-Baruch Emanuel , Friedman Itamar , Zelnik-Manor Lihi",2021,ICCV2021,0
Describing and Localizing Multiple Changes With Transformers,"Qiu Yue , Yamamoto Shintaro , Nakashima Kodai , Suzuki Ryota , Iwata Kenji , Kataoka Hirokatsu , Satoh Yutaka",2021,ICCV2021,6
Score-Based Point Cloud Denoising,"Luo Shitong , Hu Wei",2021,ICCV2021,13
Panoptic Segmentation of Satellite Image Time Series With Convolutional Temporal Attention Networks,"Garnot Vivien Sainte Fare , L,rieu Loic",2021,ICCV2021,0
Focus on the Positives: Self-Supervised Learning for Biodiversity Monitoring,"Pantazis Omiros , Brostow Gabriel J. , Jones Kate E. , Mac Aodha Oisin",2021,ICCV2021,0
Bridging Unsupervised and Supervised Depth From Focus via All-in-Focus Supervision,"Wang Ning-Hsu , Wang Ren , Liu Yu-Lun , Huang Yu-Hao , Chang Yu-Lin , Chen Chia-Ping , Jou Kevin",2021,ICCV2021,7
Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction Without Convolutions,"Wang Wenhai , Xie Enze , Li Xiang , Fan Deng-Ping , Song Kaitao , Liang Ding , Lu Tong , Luo Ping , Shao Ling",2021,ICCV2021,1294
DOLG: Single-Stage Image Retrieval With Deep Orthogonal Fusion of Local and Global Features,"Yang Min , He Dongliang , Fan Miao , Shi Baorong , Xue Xuetong , Li Fu , Ding Errui , Huang Jizhou",2021,ICCV2021,20
Light Source Guided Single-Image Flare Removal From Unpaired Data,"Qiao Xiaotian , Hancke Gerhard P. , Lau Rynson W.H.",2021,ICCV2021,4
Learning Bias-Invariant Representation by Cross-Sample Mutual Information Minimization,"Zhu Wei , Zheng Haitian , Liao Haofu , Li Weijian , Luo Jiebo",2021,ICCV2021,17
Selective Feature Compression for Efficient Activity Recognition Inference,"Liu Chunhui , Li Xinyu , Chen Hao , Modolo Davide , Tighe Joseph",2021,ICCV2021,4
Attention-Based Multi-Reference Learning for Image Super-Resolution,"Pesavento Marco , Volino Marco , Hilton Adrian",2021,ICCV2021,3
Spatial-Temporal Transformer for Dynamic Scene Graph Generation,"Cong Yuren , Liao Wentong , Ackermann Hanno , Rosenhahn Bodo , Yang Michael Ying",2021,ICCV2021,34
Deep Transport Network for Unsupervised Video Object Segmentation,"Zhang Kaihua , Zhao Zicheng , Liu Dong , Liu Qingshan , Liu Bo",2021,ICCV2021,16
RDI-Net: Relational Dynamic Inference Networks,"Wang Huanyu , Li Songyuan , Su Shihao , Qin Zequn , Li Xi",2021,ICCV2021,2
Densely Guided Knowledge Distillation Using Multiple Teacher Assistants,"Son Wonchul , Na Jaemin , Choi Junyong , Hwang Wonjun",2021,ICCV2021,24
Pi-NAS: Improving Neural Architecture Search by Reducing Supernet Training Consistency Shift,"Peng Jiefeng , Zhang Jiqi , Li Changlin , Wang Guangrun , Liang Xiaodan , Lin Liang",2021,ICCV2021,7
ARAPReg: An As-Rigid-As Possible Regularization Loss for Learning Deformable Shape Generators,"Huang Qixing , Huang Xiangru , Sun Bo , Zhang Zaiwei , Jiang Junfeng , Bajaj Ch,rajit",2021,ICCV2021,0
Online Refinement of Low-Level Feature Based Activation Map for Weakly Supervised Object Localization,"Xie Jinheng , Luo Cheng , Zhu Xiangping , Jin Ziqi , Lu Weizeng , Shen Linlin",2021,ICCV2021,20
Grounding Consistency: Distilling Spatial Common Sense for Precise Visual Relationship Detection,"Diomataris Markos , Gkanatsios Nikolaos , Pitsikalis Vassilis , Maragos Petros",2021,ICCV2021,3
Long-Term Temporally Consistent Unpaired Video Translation From Simulated Surgical 3D Data,"Rivoir Dominik , Pfeiffer Micha , Docea Reuben , Kolbinger Fiona , Riediger Carina , Weitz J\""urgen , Speidel Stefanie",2021,ICCV2021,10
Bridging the Gap Between Label- and Reference-Based Synthesis in Multi-Attribute Image-to-Image Translation,"Huang Qiusheng , Zheng Zhilin , Hu Xueqi , Sun Li , Li Qingli",2021,ICCV2021,0
A Broad Study on the Transferability of Visual Representations With Contrastive Learning,"Islam Ashraful , Chen Chun-Fu (Richard) , P,a Rameswar , Karlinsky Leonid , Radke Richard , Feris Rogerio",2021,ICCV2021,49
TempNet: Online Semantic Segmentation on Large-Scale Point Cloud Series,"Zhou Yunsong , Zhu Hongzi , Li Chunqin , Cui Tiankai , Chang Shan , Guo Minyi",2021,ICCV2021,2
Bayesian Deep Basis Fitting for Depth Completion With Uncertainty,"Qu Chao , Liu Wenxin , Taylor Camillo J.",2021,ICCV2021,13
Query Adaptive Few-Shot Object Detection With Heterogeneous Graph Convolutional Networks,"Han Guangxing , He Yicheng , Huang Shiyuan , Ma Jiawei , Chang Shih-Fu",2021,ICCV2021,47
ResRep: Lossless CNN Pruning via Decoupling Remembering and Forgetting,"Ding Xiaohan , Hao Tianxiang , Tan Jianchao , Liu Ji , Han Jungong , Guo Yuchen , Ding Guiguang",2021,ICCV2021,49
P2-Net: Joint Description and Detection of Local Features for Pixel and Point Matching,"Wang Bing , Chen Changhao , Cui Zhaopeng , Qin Jie , Lu Chris Xiaoxuan , Yu Zhengdi , Zhao Peijun , Dong Zhen , Zhu Fan , Trigoni Niki , Markham Andrew",2021,ICCV2021,5
Generalize Then Adapt: Source-Free Domain Adaptive Semantic Segmentation,"Kundu Jogendra Nath , Kulkarni Akshay , Singh Amit , Jampani Varun , Babu R. Venkatesh",2021,ICCV2021,54
Cross-Modality Person Re-Identification via Modality Confusion and Center Aggregation,"Hao Xin , Zhao Sanyuan , Ye Mang , Shen Jianbing",2021,ICCV2021,33
