title,author,year,publication
PAC-Bayesian Bounds on Rate-Efficient Classifiers,"Alhabib Abbas, Yiannis Andreopoulos",2022,ICML2022
Sharp-MAML: Sharpness-Aware Model-Agnostic Meta Learning,"Momin Abbas, Quan Xiao, Lisha Chen, Pin-Yu Chen, Tianyi Chen",2022,ICML2022
An Initial Alignment between Neural Network and Target is Needed for Gradient Descent to Learn,"Emmanuel Abbe, Elisabetta Cornacchia, Jan Hazla, Christopher Marquis",2022,ICML2022
Active Sampling for Min-Max Fairness,"Jacob D Abernethy, Pranjal Awasthi, Matthäus Kleindessner, Jamie Morgenstern, Chris Russell, Jie Zhang",2022,ICML2022
Meaningfully debugging model mistakes using conceptual counterfactual explanations,"Abubakar Abid, Mert Yuksekgonul, James Zou",2022,ICML2022
Batched Dueling Bandits,"Arpit Agarwal, Rohan Ghuge, Viswanath Nagarajan",2022,ICML2022
Hierarchical Shrinkage: Improving the accuracy and interpretability of tree-based models.,"Abhineet Agarwal, Yan Shuo Tan, Omer Ronen, Chandan Singh, Bin Yu",2022,ICML2022
Deep equilibrium networks are sensitive to initialization statistics,"Atish Agarwala, Samuel S Schoenholz",2022,ICML2022
Learning of Cluster-based Feature Importance for Electronic Health Record Time-series,"Henrique Aguiar, Mauro Santos, Peter Watkinson, Tingting Zhu",2022,ICML2022
On the Convergence of the Shapley Value in Parametric Bayesian Learning Games,"Lucas Agussurja, Xinyi Xu, Bryan Kian Hsiang Low",2022,ICML2022
Individual Preference Stability for Clustering,"Saba Ahmadi, Pranjal Awasthi, Samir Khuller, Matthäus Kleindessner, Jamie Morgenstern, Pattara Sukprasert, Ali Vakilian",2022,ICML2022
Understanding the unstable convergence of gradient descent,"Kwangjun Ahn, Jingzhao Zhang, Suvrit Sra",2022,ICML2022
Minimum Cost Intervention Design for Causal Effect Identification,"Sina Akbari, Jalal Etesami, Negar Kiyavash",2022,ICML2022
How Faithful is your Synthetic Data? Sample-level Metrics for Evaluating and Auditing Generative Models,"Ahmed Alaa, Boris Van Breugel, Evgeny S. Saveliev, Mihaela van der Schaar",2022,ICML2022
A Natural Actor-Critic Framework for Zero-Sum Markov Games,"Ahmet Alacaoglu, Luca Viano, Niao He, Volkan Cevher",2022,ICML2022
Deploying Convolutional Networks on Untrusted Platforms Using 2D Holographic Reduced Representations,"Mohammad Mahmudul Alam, Edward Raff, Tim Oates, James Holt",2022,ICML2022
Optimistic Linear Support and Successor Features as a Basis for Optimal Policy Transfer,"Lucas Nunes Alegre, Ana Bazzan, Bruno C. Da Silva",2022,ICML2022
Structured Stochastic Gradient MCMC,"Antonios Alexos, Alex J Boyd, Stephan Mandt",2022,ICML2022
XAI for Transformers: Better Explanations through Conservative Propagation,"Ameen Ali, Thomas Schnake, Oliver Eberle, Grégoire Montavon, Klaus-Robert Müller, Lior Wolf",2022,ICML2022
RUMs from Head-to-Head Contests,"Matteo Almanza, Flavio Chierichetti, Ravi Kumar, Alessandro Panconesi, Andrew Tomkins",2022,ICML2022
Neuro-Symbolic Language Modeling with Automaton-augmented Retrieval,"Uri Alon, Frank Xu, Junxian He, Sudipta Sengupta, Dan Roth, Graham Neubig",2022,ICML2022
Minimax Classification under Concept Drift with Multidimensional Adaptation and Performance Guarantees,"Verónica Álvarez, Santiago Mazuelas, Jose A Lozano",2022,ICML2022
Scalable First-Order Bayesian Optimization via Structured Automatic Differentiation,"Sebastian E Ament, Carla P Gomes",2022,ICML2022
