title,author,year,publication,citation
Federated Submodel Optimization for Hot and Cold Data Features,"Yucheng Ding, Chaoyue Niu, Fan Wu, Shaojie Tang, Chengfei Lyu, yanghe feng, Guihai Chen",2022,NeurIPS2022,0
On Kernelized Multi-Armed Bandits with Constraints,"Xingyu Zhou, Bo Ji",2022,NeurIPS2022,0
Geometric Order Learning for Rank Estimation,"Seon-Ho Lee, Nyeong Ho Shin, Chang-Su Kim",2022,NeurIPS2022,169
Structured Recognition for Generative Models with Explaining Away,"Changmin Yu, Hugo Soulat, Neil Burgess, Maneesh Sahani",2022,NeurIPS2022,0
Fast Bayesian Coresets via Subsampling and Quasi-Newton Refinement,"Cian Naik, Judith Rousseau, Trevor Campbell",2022,NeurIPS2022,1
What You See is What You Classify: Black Box Attributions,"Steven Stalder, Nathanael Perraudin, Radhakrishna Achanta, Fernando Perez-Cruz, Michele Volpi",2022,NeurIPS2022,2
Adaptive Interest for Emphatic Reinforcement Learning,"Martin Klissarov, Rasool Fakoor, Jonas W. Mueller, Kavosh Asadi, Taesup Kim, Alexander J. Smola",2022,NeurIPS2022,0
Scaling &amp; Shifting Your Features: A New Baseline for Efficient Model Tuning,"Dongze Lian, Daquan Zhou, Jiashi Feng, Xinchao Wang",2022,NeurIPS2022,-999
Zero-Shot Video Question Answering via Frozen Bidirectional Language Models,"Antoine Yang, Antoine Miech, Josef Sivic, Ivan Laptev, Cordelia Schmid",2022,NeurIPS2022,-999
Active Learning with Neural Networks: Insights from Nonparametric Statistics,"Yinglun Zhu, Robert Nowak",2022,NeurIPS2022,-999
IM-Loss: Information Maximization Loss for Spiking Neural Networks,"Yufei Guo, Yuanpei Chen, Liwen Zhang, Xiaode Liu, Yinglei Wang, Xuhui Huang, Zhe Ma",2022,NeurIPS2022,-999
Using natural language and program abstractions to instill human inductive biases in machines,"Sreejan Kumar, Carlos G. Correa, Ishita Dasgupta, Raja Marjieh, Michael Y Hu, Robert Hawkins, Jonathan D Cohen, nathaniel daw, Karthik Narasimhan, Tom Griffiths",2022,NeurIPS2022,-999
Second Thoughts are Best: Learning to Re-Align With Human Values from Text Edits,"Ruibo Liu, Chenyan Jia, Ge Zhang, Ziyu Zhuang, Tony Liu, Soroush Vosoughi",2022,NeurIPS2022,-999
SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery,"Yezhen Cong, Samar Khanna, Chenlin Meng, Patrick Liu, Erik Rozi, Yutong He, Marshall Burke, David Lobell, Stefano Ermon",2022,NeurIPS2022,-999
On Sample Optimality in Personalized Collaborative and Federated Learning,"Mathieu Even, Laurent Massoulié, Kevin Scaman",2022,NeurIPS2022,-999
Offline Multi-Agent Reinforcement Learning with Knowledge Distillation,"Wei-Cheng Tseng, Tsun-Hsuan Johnson Wang, Yen-Chen Lin, Phillip Isola",2022,NeurIPS2022,-999
Decentralized Gossip-Based Stochastic Bilevel Optimization over Communication Networks,"Shuoguang Yang, Xuezhou Zhang, Mengdi Wang",2022,NeurIPS2022,-999
Conditional Meta-Learning of Linear Representations,"Giulia Denevi, Massimiliano Pontil, Carlo Ciliberto",2022,NeurIPS2022,-999
Theory and Approximate Solvers for Branched Optimal Transport with Multiple Sources,"Peter Lippmann, Enrique Fita Sanmartín, Fred A. Hamprecht",2022,NeurIPS2022,-999
CHIMLE: Conditional Hierarchical IMLE for Multimodal Conditional Image Synthesis,"Shichong Peng, Seyed Alireza Moazenipourasil, Ke Li",2022,NeurIPS2022,-999
Active Ranking without Strong Stochastic Transitivity,"Hao Lou, Tao Jin, Yue Wu, Pan Xu, Quanquan Gu, Farzad Farnoud",2022,NeurIPS2022,-999
Offline Goal-Conditioned Reinforcement Learning via $f$-Advantage Regression,"Jason Yecheng Ma, Jason Yan, Dinesh Jayaraman, Osbert Bastani",2022,NeurIPS2022,-999
Rethinking and Improving Robustness of Convolutional Neural Networks: a Shapley Value-based Approach in Frequency Domain,"Yiting Chen, Qibing Ren, Junchi Yan",2022,NeurIPS2022,-999
Adversarial Style Augmentation for Domain Generalized Urban-Scene Segmentation,"Zhun Zhong, Yuyang Zhao, Gim Hee Lee, Nicu Sebe",2022,NeurIPS2022,-999
Fully Sparse 3D Object Detection,"Lue Fan, Feng Wang, Naiyan Wang, ZHAO-XIANG ZHANG",2022,NeurIPS2022,-999
Diffusion Visual Counterfactual Explanations,"Maximilian Augustin, Valentyn Boreiko, Francesco Croce, Matthias Hein",2022,NeurIPS2022,-999
Recurrent Video Restoration Transformer with Guided Deformable Attention,"Jingyun Liang, Yuchen Fan, Xiaoyu Xiang, Rakesh Ranjan, Eddy Ilg, Simon Green, Jiezhang Cao, Kai Zhang, Radu Timofte, Luc V Gool",2022,NeurIPS2022,-999
A Consolidated Cross-Validation Algorithm for Support Vector Machines via Data Reduction,"Boxiang Wang, Archer Yang",2022,NeurIPS2022,-999
On-Demand Sampling: Learning Optimally from Multiple Distributions,"Nika Haghtalab, Michael Jordan, Eric Zhao",2022,NeurIPS2022,-999
Asynchronous SGD Beats Minibatch SGD Under Arbitrary Delays,"Konstantin Mishchenko, Francis Bach, Mathieu Even, Blake E. Woodworth",2022,NeurIPS2022,-999
Coresets for Relational Data and The Applications,"Jiaxiang Chen, Qingyuan Yang, Ruomin Huang, Hu Ding",2022,NeurIPS2022,-999
Model-Based Offline Reinforcement Learning with Pessimism-Modulated Dynamics Belief,"Kaiyang Guo, Shao Yunfeng, Yanhui Geng",2022,NeurIPS2022,-999
Generating Training Data with Language Models: Towards Zero-Shot Language Understanding,"Yu Meng, Jiaxin Huang, Yu Zhang, Jiawei Han",2022,NeurIPS2022,-999
Wavelet Score-Based Generative Modeling,"Florentin Guth, Simon Coste, Valentin De Bortoli, Stephane Mallat",2022,NeurIPS2022,-999
Robust Binary Models by Pruning Randomly-initialized Networks,"Chen Liu, Ziqi Zhao, Sabine Süsstrunk, Mathieu Salzmann",2022,NeurIPS2022,-999
Generalizing Consistent Multi-Class Classification with Rejection to be Compatible with Arbitrary Losses,"Yuzhou Cao, Tianchi Cai, Lei Feng, Lihong Gu, Jinjie GU, Bo An, Gang Niu, Masashi Sugiyama",2022,NeurIPS2022,-999
Markovian Interference in Experiments,"Vivek Farias, Andrew Li, Tianyi Peng, Andrew Zheng",2022,NeurIPS2022,-999
Identifiability and generalizability from multiple experts in Inverse Reinforcement Learning,"Paul Rolland, Luca Viano, Norman Schürhoff, Boris Nikolov, Volkan Cevher",2022,NeurIPS2022,-999
Parallel Tempering With a Variational Reference,"Nikola Surjanovic, Saifuddin Syed, Alexandre Bouchard-Côté, Trevor Campbell",2022,NeurIPS2022,-999
Provably Efficient Reinforcement Learning in Partially Observable Dynamical Systems,"Masatoshi Uehara, Ayush Sekhari, Jason D. Lee, Nathan Kallus, Wen Sun",2022,NeurIPS2022,-999
Off-Policy Evaluation for Episodic Partially Observable Markov Decision Processes under Non-Parametric Models,"Rui Miao, Zhengling Qi, Xiaoke Zhang",2022,NeurIPS2022,-999
Efficient Knowledge Distillation from Model Checkpoints,"Chaofei Wang, Qisen Yang, Rui Huang, Shiji Song, Gao Huang",2022,NeurIPS2022,-999
Decoupled Self-supervised Learning for Graphs,"Teng Xiao, Zhengyu Chen, Zhimeng Guo, Zeyang Zhuang, Suhang Wang",2022,NeurIPS2022,-999
Shadow Knowledge Distillation: Bridging Offline and Online Knowledge Transfer,"Lujun Li, ZHE JIN",2022,NeurIPS2022,-999
ComENet: Towards Complete and Efficient Message Passing for 3D Molecular Graphs,"Limei Wang, Yi Liu, Yuchao Lin, Haoran Liu, Shuiwang Ji",2022,NeurIPS2022,-999
Tiered Reinforcement Learning: Pessimism in the Face of Uncertainty and Constant Regret,"Jiawei Huang, Li Zhao, Tao Qin, Wei Chen, Nan Jiang, Tie-Yan Liu",2022,NeurIPS2022,-999
Between Stochastic and Adversarial Online Convex Optimization: Improved Regret Bounds via Smoothness,"Sarah Sachs, Hedi Hadiji, Tim van Erven, Cristóbal Guzmán",2022,NeurIPS2022,-999
Differentially Private Learning Needs Hidden State (Or Much Faster Convergence),"Jiayuan Ye, Reza Shokri",2022,NeurIPS2022,-999
BR-SNIS: Bias Reduced Self-Normalized Importance Sampling,"Gabriel Cardoso, Sergey Samsonov, Achille Thin, Eric Moulines, Jimmy Olsson",2022,NeurIPS2022,-999
Learning to Configure Computer Networks with Neural Algorithmic Reasoning,"Luca Beurer-Kellner, Martin Vechev, Laurent Vanbever, Petar Veličković",2022,NeurIPS2022,-999
Early Stage Convergence and Global Convergence of Training Mildly Parameterized Neural Networks,"Mingze Wang, Chao Ma",2022,NeurIPS2022,-999
On Divergence Measures for Bayesian Pseudocoresets,"Balhae Kim, Jungwon Choi, Seanie Lee, Yoonho Lee, Jung-Woo Ha, Juho Lee",2022,NeurIPS2022,-999
Unsupervised Learning of Equivariant Structure from Sequences,"Takeru Miyato, Masanori Koyama, Kenji Fukumizu",2022,NeurIPS2022,-999
Multi-Class $H$-Consistency Bounds,"Pranjal Awasthi, Anqi Mao, Mehryar Mohri, Yutao Zhong",2022,NeurIPS2022,-999
On the Frequency-bias of Coordinate-MLPs,"Sameera Ramasinghe, Lachlan E. MacDonald, Simon Lucey",2022,NeurIPS2022,-999
Mask Matching Transformer for Few-Shot Segmentation,"siyu jiao, Gengwei Zhang, Shant Navasardyan, Ling Chen, Yao Zhao, Yunchao Wei, Honghui Shi",2022,NeurIPS2022,-999
Queue Up Your Regrets: Achieving the Dynamic Capacity Region of Multiplayer Bandits,"Ilai Bistritz, Nicholas Bambos",2022,NeurIPS2022,-999
Differentially Private Covariance Revisited,"Wei Dong, Yuting Liang, Ke Yi",2022,NeurIPS2022,-999
Trimmed Maximum Likelihood Estimation for Robust Generalized Linear Model,"Pranjal Awasthi, Abhimanyu Das, Weihao Kong, Rajat Sen",2022,NeurIPS2022,-999
Causal Discovery in Linear Latent Variable Models Subject to Measurement Error,"Yuqin Yang, AmirEmad Ghassami, Mohamed Nafea, Negar Kiyavash, Kun Zhang, Ilya Shpitser",2022,NeurIPS2022,-999
Density-driven Regularization for Out-of-distribution Detection,"Wenjian Huang, Hao Wang, Jiahao Xia, Chengyan Wang, Jianguo Zhang",2022,NeurIPS2022,-999
Sparsity in Continuous-Depth Neural Networks,"Hananeh Aliee, Till Richter, Mikhail Solonin, Ignacio Ibarra, Fabian Theis, Niki Kilbertus",2022,NeurIPS2022,-999
Environment Diversification with Multi-head Neural Network for Invariant Learning,"Bo-Wei Huang, Keng-Te Liao, Chang-Sheng Kao, Shou-De Lin",2022,NeurIPS2022,-999
Learning Probabilistic Models from Generator Latent Spaces with Hat EBM,"Mitch Hill, Erik Nijkamp, Jonathan Mitchell, Bo Pang, Song-Chun Zhu",2022,NeurIPS2022,-999
Learning Best Combination for Efficient N:M Sparsity,"Yuxin Zhang, Mingbao Lin, ZhiHang Lin, Yiting Luo, Ke Li, Fei Chao, Yongjian Wu, Rongrong Ji",2022,NeurIPS2022,-999
Why Do Artificially Generated Data Help Adversarial Robustness,"Yue Xing, Qifan Song, Guang Cheng",2022,NeurIPS2022,-999
Neural Surface Reconstruction of Dynamic Scenes with Monocular RGB-D Camera,"Hongrui Cai, Wanquan Feng, Xuetao Feng, Yan Wang, Juyong Zhang",2022,NeurIPS2022,-999
Global Optimal K-Medoids Clustering of One Million Samples,"Jiayang Ren, Kaixun Hua, Yankai Cao",2022,NeurIPS2022,-999
Batch Multi-Fidelity Active Learning with Budget Constraints,"Shibo Li, Jeff M Phillips, Xin Yu, Robert Kirby, Shandian Zhe",2022,NeurIPS2022,-999
UniCLIP: Unified Framework for Contrastive Language-Image Pre-training,"Janghyeon Lee, Jongsuk Kim, Hyounguk Shon, Bumsoo Kim, Seung Hwan Kim, Honglak Lee, Junmo Kim",2022,NeurIPS2022,-999
Efficient Multi-agent Communication via Self-supervised Information Aggregation,"Cong Guan, Feng Chen, Lei Yuan, Chenghe Wang, Hao Yin, Zongzhang Zhang, Yang Yu",2022,NeurIPS2022,-999
Accelerated Training of Physics-Informed Neural Networks (PINNs) using Meshless Discretizations,"Ramansh Sharma, Varun Shankar",2022,NeurIPS2022,-999
DOPE: Doubly Optimistic and Pessimistic Exploration for Safe Reinforcement Learning,"Archana Bura, Aria HasanzadeZonuzy, Dileep Kalathil, Srinivas Shakkottai, Jean-Francois Chamberland",2022,NeurIPS2022,-999
Improved Regret Analysis for Variance-Adaptive Linear Bandits and Horizon-Free Linear Mixture MDPs,"Yeoneung Kim, Insoon Yang, Kwang-Sung Jun",2022,NeurIPS2022,-999
Communication-Efficient Topologies for Decentralized Learning with $O(1)$ Consensus Rate,"Zhuoqing Song, Weijian Li, Kexin Jin, Lei Shi, Ming Yan, Wotao Yin, Kun Yuan",2022,NeurIPS2022,-999
Moderate-fitting as a Natural Backdoor Defender for Pre-trained Language Models,"Biru Zhu, Yujia Qin, Ganqu Cui, Yangyi Chen, Weilin Zhao, Chong Fu, Yangdong Deng, Zhiyuan Liu, Jingang Wang, Wei Wu, Maosong Sun, Ming Gu",2022,NeurIPS2022,-999
Dataset Distillation via Factorization,"Songhua Liu, Kai Wang, Xingyi Yang, Jingwen Ye, Xinchao Wang",2022,NeurIPS2022,-999
Adaptive Sampling for Discovery,"Ziping Xu, Eunjae Shim, Ambuj Tewari, Paul Zimmerman",2022,NeurIPS2022,-999
SegNeXt: Rethinking Convolutional Attention Design for Semantic Segmentation,"Meng-Hao Guo, Cheng-Ze Lu, Qibin Hou, Zhengning Liu, Ming-Ming Cheng, Shi-min Hu",2022,NeurIPS2022,-999
Understanding Hyperdimensional Computing for Parallel Single-Pass Learning,"Tao Yu, Yichi Zhang, Zhiru Zhang, Christopher M. De Sa",2022,NeurIPS2022,-999
Syndicated Bandits: A Framework for Auto Tuning Hyper-parameters in Contextual Bandit Algorithms,"QIN DING, Yue Kang, Yi-Wei Liu, Thomas Chun Man Lee, Cho-Jui Hsieh, James Sharpnack",2022,NeurIPS2022,-999
"Benign, Tempered, or Catastrophic: Toward a Refined Taxonomy of Overfitting","Neil Mallinar, James Simon, Amirhesam Abedsoltan, Parthe Pandit, Misha Belkin, Preetum Nakkiran",2022,NeurIPS2022,-999
Pre-trained Adversarial Perturbations,"Yuanhao Ban, Yinpeng Dong",2022,NeurIPS2022,-999
